"","X","court_index_number","docket_number","eviction_address","eviction_apartment_number","executed_date","marshal_first_name","marshal_last_name","residential_commercial","borough","eviction_postcode","ejectment","eviction_legal_possession","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","year"
"1",2,"9267/19",355230,"3322 BAYCHESTER AVENUE","A","2019-10-24","Thomas","Bia","Residential","BRONX",10475,"Not an Ejectment","Eviction",40.877984,-73.836877,12,12,46202,2126939,2052260033,"Co-op City",2019
"2",48,"323340/23",34000,"50 STUYVESANT AVE","09G","2024-06-18","Edward","Guida","Residential","BROOKLYN",11221,"Not an Ejectment","Eviction",40.694664,-73.934397,3,36,287,3341752,3015950024,"Stuyvesant Heights",2024
"3",97,"14001/15",202615,"81-10 ROCKAWAY BEACH BLVD","4B","2017-10-26","Richard","Capuano","Residential","QUEENS",11693,"Not an Ejectment","Eviction",40.587969,-73.807681,14,31,94202,4436315,4161140002,"Hammels-Arverne-Edgemere",2017
"4",143,"13101/17",334629,"51 MANHATTAN AVENUE","3A","2017-09-25","Thomas","Bia","Residential","MANHATTAN",10025,"Not an Ejectment","Eviction",40.796106,-73.963349,7,7,189,1083820,1018360001,"Upper West Side",2017
"5",167,"10588/17",4982,"2331 WEST 11TH ST","04E","2017-10-12","Jeffrey","Rose","Residential","BROOKLYN",11223,"Not an Ejectment","Eviction",40.590992,-73.981216,13,47,382,3322170,3071400016,"Gravesend",2017
"6",172,"806573/17",338231,"818 HOME STREET","3X","2018-03-12","Thomas","Bia","Residential","BRONX",10459,"Not an Ejectment","Eviction",40.827734,-73.899335,3,17,131,2005038,2026800019,"Longwood",2018
"7",188,"13548/16*",31493,"79 BARUCH DRIVE","08E","2017-01-11","Bruce","Kemp","Residential","MANHATTAN",10002,"Not an Ejectment","Eviction",40.717575,-73.97819,3,2,1002,1078036,1003230001,"Lower East Side",2017
"8",317,"13476/17",203981,"35-34 21ST STREET","06G","2018-07-26","Richard","Capuano","Residential","QUEENS",11106,"Not an Ejectment","Eviction",40.760899,-73.935837,1,26,43,4430693,4003320002,"Queensbridge-Ravenswood-Long Island City",2018
"9",482,"801518/19",354810,"730 EAST 163RD STREET","11G","2019-10-08","Thomas","Bia","Residential","BRONX",10456,"Not an Ejectment","Eviction",40.823092,-73.90474,3,16,133,2091960,2026380090,"Morrisania-Melrose",2019
"10",625,"10273/17",109094,"930 EAST 4TH WALK","05I","2017-04-14","Maxine","Chevlowe","Residential","MANHATTAN",10009,"Not an Ejectment","Eviction",40.720695,-73.976526,3,2,20,1078057,1003560001,"Lower East Side",2017
"11",644,"11753/19",24308,"133-20 ROOSEVELT AVENUE","10C","2020-01-16","Edward","Guida","Residential","QUEENS",11354,"Not an Ejectment","Eviction",40.758403,-73.833514,7,20,871,4443446,4050370008,"Flushing",2020
"12",646,"B800733/17",379236,"1151 EAST 229TH  STREET","12C","2017-12-06","Richard","McCoy","Residential","BRONX",10466,"Not an Ejectment","Eviction",40.886169,-73.845052,12,12,458,2094152,2049050001,"Eastchester-Edenwald-Baychester",2017
"13",732,"13299/17",203868,"14-72 BEACH CHANNEL DRIVE","03B","2019-04-08","Richard","Capuano","Residential","QUEENS",11691,"Not an Ejectment","Eviction",40.61006,-73.753568,14,31,103201,4449690,4155010002,"Far Rockaway-Bayswater",2019
"14",780,"14173/17",204700,"38-08 BEACH CHANNEL DRIVE","09A","2019-03-18","Richard","Capuano","Residential","QUEENS",11691,"Not an Ejectment","Eviction",40.595991,-73.770835,14,31,97203,4302129,4159550003,"Hammels-Arverne-Edgemere",2019
"15",838,"10981/18",345542,"2850 8TH AVENUE","11B","2018-10-18","Thomas","Bia","Residential","MANHATTAN",10039,"Not an Ejectment","Eviction",40.826936,-73.938909,10,9,236,1060604,1020370001,"Central Harlem North-Polo Grounds",2018
"16",869,"14187/18",33735,"200 WEST 143RD ST","18G","2019-10-16","Bruce","Kemp","Residential","MANHATTAN",10030,"Not an Ejectment","Eviction",40.820379,-73.940137,10,9,232,1060430,1020280016,"Central Harlem North-Polo Grounds",2019
"17",964,"12075/17",109840,"20 WEST 115TH STREET","14J","2017-06-19","Maxine","Chevlowe","Residential","MANHATTAN",10026,"Not an Ejectment","Eviction",40.800402,-73.948025,10,9,186,1083317,1015960001,"Central Harlem South",2017
"18",983,"10073/17",71151,"2937 EIGHTH AVENUE","29C","2017-09-08","Henry","Daley","Residential","MANHATTAN",10039,"Not an Ejectment","Eviction",40.829501,-73.937035,10,9,24302,1084518,1021060003,"Central Harlem North-Polo Grounds",2017
"19",1004,"13773/18",5802,"105 AVE X","03C","2019-10-16","Jeffrey","Rose","Residential","BROOKLYN",11223,"Not an Ejectment","Eviction",40.589523,-73.979578,13,47,382,3322158,3071400016,"Gravesend",2019
"20",1121,"18339/18",5979,"1580 EAST N.Y. AVE","01C","2019-03-19","Jeffrey","Rose","Residential","BROOKLYN",11212,"Not an Ejectment","Eviction",NA,NA,NA,NA,NA,NA,NA,"",2019
"21",1178,"12362/19",34462,"431 EAST 102ND ST","6B","2019-09-05","Bruce","Kemp","Residential","MANHATTAN",10029,"Not an Ejectment","Eviction",40.786573,-73.940752,11,8,162,1083939,1016960001,"East Harlem South",2019
"22",1259,"16118/17",61059,"2045 ROCKAWAY PARKWA","01B","2018-11-23","Howard","Schain","Residential","BROOKLYN",11236,"Not an Ejectment","Eviction",NA,NA,NA,NA,NA,NA,NA,"",2018
"23",1269,"10156/19",86919,"2950 WEST 35TH ST.","405","2019-10-01","Robert","Solimine","Residential","BROOKLYN",11224,"Not an Ejectment","Eviction",40.573838,-74.000493,13,47,342,3189511,3070460022,"Seagate-Coney Island",2019
